epoch,step,train_loss,val_loss
0,9,0.5023163557052612,
0,19,0.4708987772464752,
0,24,,0.6127077341079712
1,29,0.38804134726524353,
1,39,0.24511553347110748,
1,49,0.3788699209690094,
1,49,,0.5974971652030945
2,59,0.27120280265808105,
2,69,0.39348354935646057,
2,74,,0.5952174067497253
3,79,0.17408892512321472,
3,89,0.19173958897590637,
3,99,1.3215107917785645,
3,99,,0.5998855829238892
4,109,0.15516409277915955,
4,119,0.37417808175086975,
4,124,,0.6046025156974792
5,129,0.07588358223438263,
5,139,0.29061266779899597,
5,149,1.1770700216293335,
5,149,,0.6044929623603821
6,159,0.08397068083286285,
6,169,0.38561803102493286,
6,174,,0.6024162769317627
7,179,0.14426806569099426,
7,189,0.31530922651290894,
7,199,1.1261855363845825,
7,199,,0.5952501893043518
8,209,0.10574314743280411,
8,219,0.32094335556030273,
8,224,,0.5802709460258484
9,229,0.12164602428674698,
9,239,0.264312207698822,
9,249,0.49607929587364197,
9,249,,0.5775788426399231
10,259,0.2092084288597107,
10,269,0.20000486075878143,
10,274,,0.5724998116493225
11,279,0.059504184871912,
11,289,0.435814768075943,
11,299,1.4677141904830933,
11,299,,0.5719971060752869
12,309,0.07683759927749634,
12,319,0.21598921716213226,
12,324,,0.5687093138694763
13,329,0.04135046899318695,
13,339,0.2203192114830017,
13,349,1.4248849153518677,
13,349,,0.5653927326202393
14,359,0.08316490054130554,
14,369,0.43658140301704407,
14,374,,0.5637370944023132
15,379,0.054539117962121964,
15,389,0.22767187654972076,
15,399,0.5469866394996643,
15,399,,0.5635436773300171
16,409,0.08920302987098694,
16,419,0.39013129472732544,
16,424,,0.5622082948684692
17,429,0.07066771388053894,
17,439,0.23814541101455688,
17,449,1.1105839014053345,
17,449,,0.5629456043243408
18,459,0.04848742112517357,
18,469,0.36894717812538147,
18,474,,0.563897430896759
19,479,0.06485602259635925,
19,489,0.29134804010391235,
19,499,1.7685637474060059,
19,499,,0.5607365965843201
20,509,0.10930486023426056,
20,519,0.24464336037635803,
20,524,,0.5690540075302124
21,529,0.07486706972122192,
21,539,0.2887081205844879,
21,549,2.234149217605591,
21,549,,0.5664081573486328
22,559,0.1022118330001831,
22,569,0.3581481873989105,
22,574,,0.5672860741615295
23,579,0.1469188630580902,
23,589,0.29268813133239746,
23,599,1.7174922227859497,
23,599,,0.570229709148407
24,609,0.09465451538562775,
24,619,0.33589091897010803,
24,624,,0.5669121742248535
25,629,0.2694823741912842,
25,639,0.2494065761566162,
25,649,0.2994682490825653,
25,649,,0.5621033906936646
26,659,0.09023924171924591,
26,669,0.3245862126350403,
26,674,,0.5670503377914429
27,679,0.04997973144054413,
27,689,0.3439413011074066,
27,699,0.31317079067230225,
27,699,,0.5678498148918152
28,709,0.09039248526096344,
28,719,0.3059372901916504,
28,724,,0.5682948231697083
29,729,0.06240571290254593,
29,739,0.38393640518188477,
29,749,0.4123196601867676,
29,749,,0.5649965405464172
