epoch,step,train_loss,val_loss
0,9,0.5628122091293335,
0,19,0.4958381652832031,
0,24,,0.605755627155304
1,29,0.35632339119911194,
1,39,0.3681081533432007,
1,49,1.2632263898849487,
1,49,,0.5928215384483337
2,59,0.15452104806900024,
2,69,0.3790097236633301,
2,74,,0.5883240103721619
3,79,0.2882102131843567,
3,89,0.29012054204940796,
3,99,1.0899697542190552,
3,99,,0.5840329527854919
4,109,0.17487415671348572,
4,119,0.25886985659599304,
4,124,,0.5831621289253235
5,129,0.28464213013648987,
5,139,0.25633037090301514,
5,149,1.0959253311157227,
5,149,,0.5796089172363281
6,159,0.16975289583206177,
6,169,0.2886500358581543,
6,174,,0.5770149230957031
7,179,0.2709351181983948,
7,189,0.41047805547714233,
7,199,1.2088689804077148,
7,199,,0.5723776817321777
8,209,0.08574894070625305,
8,219,0.35817083716392517,
8,224,,0.5689329504966736
9,229,0.14355404675006866,
9,239,0.33165454864501953,
9,249,1.1340432167053223,
9,249,,0.5679144263267517
10,259,0.05646926164627075,
10,269,0.45402517914772034,
10,274,,0.5669975876808167
11,279,0.07731323689222336,
11,289,0.24656030535697937,
11,299,1.1574183702468872,
11,299,,0.5707783699035645
12,309,0.07215078175067902,
12,319,0.1646181344985962,
12,324,,0.5752894878387451
13,329,0.07369567453861237,
13,339,0.29915904998779297,
13,349,1.0314807891845703,
13,349,,0.5718567371368408
14,359,0.12189605832099915,
14,369,0.2887384295463562,
14,374,,0.583257257938385
15,379,0.08409658074378967,
15,389,0.1463242620229721,
15,399,0.8585887551307678,
15,399,,0.5649333000183105
16,409,0.0771917998790741,
16,419,0.3575572371482849,
16,424,,0.5861515998840332
17,429,0.07290728390216827,
17,439,0.40036463737487793,
17,449,1.0724951028823853,
17,449,,0.5742972493171692
18,459,0.06976602971553802,
18,469,0.3365457057952881,
18,474,,0.5704501271247864
19,479,0.07327420264482498,
19,489,0.2854779362678528,
19,499,0.8926962614059448,
19,499,,0.5672566294670105
20,509,0.030157390981912613,
20,519,0.31625860929489136,
20,524,,0.567291796207428
21,529,0.06789746880531311,
21,539,0.2840701937675476,
21,549,1.0737199783325195,
21,549,,0.5800119638442993
22,559,0.09986580908298492,
22,569,0.30753225088119507,
22,574,,0.5864428877830505
23,579,0.08653374016284943,
23,589,0.5439321994781494,
23,599,1.8432973623275757,
23,599,,0.583450436592102
24,609,0.04821016639471054,
24,619,0.30858534574508667,
24,624,,0.5912102460861206
25,629,0.05313710495829582,
25,639,0.2702903747558594,
25,649,0.9356873631477356,
25,649,,0.5866709351539612
